abbr,full
aight,alright
aint,am not
amnt,am not
n,and
arencha,are you not
arent,are not
bout,about
cant,cannot
capn,captain
cause,because
cept,except
couldve,could have
couldnt,could not
couldntve,could not have
cuppa,cup of
dammit,damn it
darent,dare not
daresnt,dare not
dasnt,dare not
didnt,did not
doesnt,does not
dont,do not
dunno,dont know
dye,do you
een,even
eer,ever
em,them
everybodys,everybody is
everyones,everyone is
finna,fixing to
focsle,forecastle
gainst,against
gday,good day
gimme,give me
givn,given
giz,give us
gonna,going to
gont,go not
gotta,got to
hadnt,had not
hadve,had have
hasnt,has not
havent,have not
hed,he had
hell,he will
helluva,hell of a
hes,he has
heres,here is
howd,how did
howdy,how do you do
howll,how will
howre,how are
hows,how has
Id,I had
Idve,I would have
Idnt,I would not
Idntve,I would not have
Ill,I will
Im,I am
Imma,I am about to
Imo,I am going to
innit,isnt it
Ion,I dont
Ive,I have
isnt,is not
itd,it would
itll,it will
its,it has
Idunno,I dont know
kinda,kind of
lets,let us
lovent,love not
maam,madam
maynt,may not
mayve,may have
methinks,I think
mightnt,might not
mightve,might have
mustnt,must not
mustntve,must not have
mustve,must have
neath,beneath
neednt,need not
nal,and all
neer,never
oclock,of the clock
oer,over
ol,old
oughtve,ought have
oughtnt,ought not
oughtntve,ought not have
round,around
s,"is, has, does, or us"
willnt,will not
shant,will not
shed,she had
shell,she will
shes,she has
shouldve,should have
shouldnt,should not
shouldntve,should not have
somebodys,somebody has
someones,someone has
somethings,something has
sore,so are
sos,so is
sove,so have
thatll,that will
thatre,that are
thats,that has
thatd,that would
thered,there had
therell,there will
therere,there are
theres,there has
thesere,these are
theseve,these have
theyd,they had
theyll,they will
theyre,they are
theyve,they have
thiss,this has
thosere,those are
thoseve,those have
thout,without
til,until
tis,it is
tove,to have
twas,it was
tween,between
twere,it were
wall,we all
wat,we at
wanna,want to
wasnt,was not
wed,we had
wedve,we would have
well,we will
were,we are
weve,we have
werent,were not
whatcha,what are you
whatd,what did
whatll,what will
whatre,what are
whats,what has
whatve,what have
whens,when has
whered,where did
wherell,where will
wherere,where are
wheres,where has
whereve,where have
whichd,which had
whichll,which will
whichre,which are
whichs,which has
whichve,which have
whod,who would
whodve,who would have
wholl,who will
whore,who are
whos,who has
whove,who have
whyd,why did
whyre,why are
whys,why has
willnt,will not
wont,will not
wonnot,will not
wouldve,would have
wouldnt,would not
wouldntve,would not have
yall,you all
yalldve,you all would have
yalldntve,you all would not have
yallre,you all are
yallrent,you all are not
yat,you at
yesm,yes maam
yknow,you know
yessir,yes sir
youd,you had
youll,you will
youre,you are
youve,you have
whend,when did
willnt,will not